facility_id,name,district,state,pin_code,latitude,longitude,raw_notes,has_icu,has_ot,has_nicu,has_dialysis,has_oncology,has_blood_bank,has_oxygen_supply,is_24_7,has_anesthesiologist,has_surgeon,doctor_count,uses_parttime_doctors,equipment_mentioned,specialties_mentioned,data_staleness_years,trust_score,trust_level,contradictions,trust_reasoning
10,32 Dental Spa,Pune,Maharashtra,411045,18.54219437,73.82818604,"dental institute providing comprehensive services for dental implants, laser treatment, and cosmetic dentistry. endodontics dentistry cosmeticdentistry familymedicine on-site dental x-ray centres outpatient dental care specializes in laser dentistry has operated for 12 years in healthcare dentist with mds on staff has 10 years of operation located in pune, maharashtra, india specializes in dental implants listed as a top endodontics clinic in shivajinagar specializes in cosmetic dentistry outpatient dental services located in baner, pune, maharashtra endodontics clinic located in shivajinagar, pune provides dental implant treatment offers dental implant procedures provides laser dental treatment offers cosmetic dentistry provides cosmetic dentistry services offers specialised dental treatment offers routine dental procedure offers dental laser treatments",False,False,False,False,False,False,False,False,False,False,,False,['On-site dental X-ray centres'],"['endodontics', 'dentistry', 'cosmeticDentistry', 'familyMedicine']",,5.0,MEDIUM,[],Score 5.0/10. Issues: None
11,32 Diamonds Smile,Malviya Nagar,Delhi,110017,28.53078651,77.22040558,nan endodontics pediatricdentistry familymedicine dental chair with overhead operatory light dental clinic providing outpatient dental care specializes in root canal therapy specializes in cosmetic tooth reshaping tooth reshaping is offered at 32 diamonds smile root canal treatment (rct) is offered at 32 diamonds smile,False,False,False,False,False,False,False,False,False,False,,False,['Dental chair with overhead operatory light'],"['endodontics', 'pediatricDentistry', 'familyMedicine']",,5.0,MEDIUM,[],Score 5.0/10. Issues: None
12,32 Gems Dental Clinic,Faridabad,Haryana,121005,28.35308838,77.2971344,"finest dental clinic in faridabad. located in faridabad, 32 gems dental clinic welcomes all patients seeking professional and dedicated dental care. we cater to patients of all ages and take great pleasure in making your dental care experience enjoyable and as comfortable as possible. we provide high-quality dental care services in our relaxing, modern clinic. we use the latest dental technology, state-of-the-art facilities, and our clinicians have achieved the highest level of generalist dental education, with many also specialising in orthodontics and dental implants. amenities include parking, debit & credit cards accepted, and by appointment only. opening hours: sunday closed; monday–friday 9:00 am–7:00 pm; saturday closed. familymedicine dentistry orthodontics  clinicians have achieved the highest level of generalist dental education, with many specializing in orthodontics and dental implants uses market-leading products for dental procedures consultation rooms are equipped with state-of-the-art facilities dental examination with classic cleaning dental examination child dental examination adult dental examination",False,False,False,False,False,False,False,False,False,False,,False,[],"['familyMedicine', 'dentistry', 'orthodontics']",,5.0,MEDIUM,[],Score 5.0/10. Issues: None
13,32 Gems multispeciality dental clinic &Implant centre,Thalassery,Kerala,670694,11.78105927,75.54026794,"our services include: pedodontics, orthodontics, root canal treatment, complete denture & partial denture familymedicine orthodontics prosthodontics endodontics pediatricdentistry  prosthetic rehabilitation provided implant centre multispeciality dental clinic prosthetic rehabilitation partial denture orthodontics pedodontics root canal treatment complete denture zirconia crown placement",False,False,False,False,False,False,False,False,False,False,,False,[],"['familyMedicine', 'orthodontics', 'prosthodontics', 'endodontics', 'pediatricDentistry']",,5.0,MEDIUM,[],Score 5.0/10. Issues: None
14,32 Kings Dental Clinic,Kaloor,Kochi,682017,9.994365692,76.29115295,"32 kings dental clinic, kochi and perumbavoor, offers laser dentistry, general dentistry, cosmetic dentistry, dental implants, and emergency dental care. it continues the legacy of madathil dental clinic, serving the perumbavoor community since 1980. familymedicine generaldentistry prosthodontics cosmeticdentistry emergencymedicine uses state-of-the-art dental equipment image shows dental examination instruments (mirror, probes) on a tray operates in kochi and perumbavoor, kerala, india originates from madathil dental clinic and has served the perumbavoor community since 1980 outpatient dental clinic offers laser dentistry provides general dentistry for all ages offers cosmetic dentistry offers emergency dental care provides dental implants",False,False,False,False,False,False,False,False,False,False,,False,"['Uses state-of-the-art dental equipment', 'Image shows dental examination instruments (mirror, probes) on a tray']","['familyMedicine', 'generalDentistry', 'prosthodontics', 'cosmeticDentistry', 'emergencyMedicine']",,5.0,MEDIUM,[],Score 5.0/10. Issues: None
15,32 Pearl Dental Clinic,Thandla,Madhya Pradesh,457777,23.00627708,74.57763672,we are here to serve comprehensive oral care to you and your family. all types of dental treatments are available at our hi-tech dental office. familymedicine   ,False,False,False,False,False,False,False,False,False,False,,False,[],['familyMedicine'],,5.0,MEDIUM,[],Score 5.0/10. Issues: None
16,32 PEARLs Advanced Dental Care Centre Santokhgarh,Santokhgarh,Himachal Pradesh,174301,31.35682106,76.31254578,"orthodontic treatment, root canal treatment (r.c.t), fracture treatment, teeth whitening internalmedicine endodontics orthodontics aestheticdentistry  located in santokhgarh, una, himachal pradesh implant and orthodontic dental hospital signage visible in property follows who standards for sterilization and hygiene including hand washing, ppe, glove changes, sterilization of non-disposable items, use of disposable instruments, antimicrobial disinfection founded on 21 june 2006 specializes in dental implants and orthodontic treatment dr. aman prashar governs the hospital performs root canal treatment (rct) mandible fracture treatment (simple cases and open reduction) laser light cure fillings (silver filling, light cure filling, gic filling) fixed teeth - bridges and crowns (porcelain crown, metal crown, porcelain dlx) dentures offered (complete dentures classic, complete denture lucitone, partial dentures) offers orthodontic treatment orthodontic treatment with braces extraction and impactions (third molar extraction, simple tooth extraction, impactions) teeth whitening performs autotransplantation of teeth (tooth 28 transplanted to position 26). root canal treatment is offered provides teeth whitening provides fracture treatment",False,False,False,False,False,False,False,False,False,False,,False,[],"['internalMedicine', 'endodontics', 'orthodontics', 'aestheticDentistry']",,5.0,MEDIUM,[],Score 5.0/10. Issues: None
17,32 Pearls Dental Care,Faridabad,Haryana,121002,28.3929615,77.30203247,"our mission is to blend state-of-the-art medical technology & research with a dedication to patient welfare & healing to provide you with the best possible health care. dentistry familymedicine  has 1 doctor on staff ayushman card facility provides comprehensive care ayushman card facility provides financial protection against high medical expenses awarded best patient care in 2014 awarded best patient care in 2017 ayushman card facility provides free medical treatment ayushman card facility provides medical insurance cover up to rs. 5 lakh operates a dental clinic awarded best practice & team in 2016 ayushman card facility provides wide coverage of medical procedures and treatments specializes in 27+ oral and maxillofacial surgeries private hospital outpatient dental clinic in faridabad, haryana, india located in faridabad, haryana empanelled under ayushman bharat pm-jay scheme offers 2+ treatment options oral-antral fistula repair correction of oro-antral communication dentoalveolar trauma - wiring fixation of fracture of jaw jaw bone infection surgery jaw cyst and tumor surgery apicoectomy (a) tooth extraction of impacted tooth under la mouth fibrosis surgery offers teeth aligners offers dental braces jaw wiring for fracture oral & maxillofacial surgery jaw fracture fixation oral and jaw surgery jaw joint stiffness surgery mandible tumour resection and reconstruction / cancer surgery impacted tooth removal offers dental implant surgery jaw cancer surgery",False,False,False,False,True,False,False,False,False,False,,False,[],"['dentistry', 'familyMedicine']",,5.0,MEDIUM,[],Score 5.0/10. Issues: None
18,32 Pearls Dental Clinic,Dhanbad,Jharkhand,826001,23.80926704,86.4329834,"32 pearls dental clinic is a multispeciality dental clinic & implant centre in india. familymedicine orthodontics prosthodontics cosmeticdentistry endodontics pediatricdentistry dentistry intraoral camera with display monitor as seen in clinic photographs dental laser system used for laser dentistry iopa x-ray imaging equipment for dental diagnostics dental chair (as pictured in clinic photographs) located in dhanbad, jharkhand private hospital established on may 10, 2010 has 14 years of dental service experience has been operating for 15 years pioneer in starting cashless facility in dental treatment category: healthcare / dentist year of experience: 15 yrs empanelled with iit (ism) since 2016 establishment year: 2010 has served 24,000 patients member since: 22-03-2025 dental clinic in dhanbad, jharkhand cashless facility for cimfr and iit (ism) employees, pensioners, and their dependents empanelled with cimfr since 2015 operates branch-2 in dhanbad, jharkhand specializes in cosmetic dentistry, pediatric dentistry, laser dentistry, and anti-aging dental treatments has 5 qualified doctors orthodontic treatment provided by visiting orthodontist has 5 dental awards dental clinic (inferred from name) full mouth rehabilitation tooth-supported fixed bridges emergency dental services complete dentures and implant-supported dentures child dental care with treatment planning considering age and mood and behavior management laser dentistry using dental lasers for oral surgery, caries removal and tooth preparation, soft tissue contouring, osseous crown lengthening, periodontology and endodontics cosmetic tooth filling iopa x-ray imaging for patients dental hygiene cavity treatment using art (atraumatic restorative techniques) cosmetic dentistry with smile design root canal treatment dental & oral x-ray implant surgical removal of cyst extraction of tooth scaling of teeth (cleaning) treatment of jaw pain and fractured jaw oral appliance therapy anti aging dental treatment including teeth contouring, whitening, removal of cracks and dark lines from front surface, replacement of missing teeth, closing gaps between teeth and gums, and reducing skin folds at corners of mouth orthodontics braces and aligners by visiting orthodontist fixed ceramic teeth (crowns and bridges) restorations",False,False,False,False,False,False,False,False,False,False,5.0,False,"['Intraoral camera with display monitor as seen in clinic photographs', 'Dental laser system used for laser dentistry', 'IOPA X-ray imaging equipment for dental diagnostics', 'Dental chair (as pictured in clinic photographs)']","['familyMedicine', 'orthodontics', 'prosthodontics', 'cosmeticDentistry', 'endodontics', 'pediatricDentistry', 'dentistry']",,5.0,MEDIUM,[],Score 5.0/10. Issues: None
19,"32 Pearls Dental Clinic (Kaladhungi Rd, Unchapul, Haldwani, Uttarakhand 263139)",Haldwani,Uttarakhand,263139,29.22455215,79.49996948,"32 pearls dental clinic is one of the well-known clinics in haldwani, haldwani offering best dental treatment services. the clinic has experienced dentists and consultants. the page also references dr jaimin patel as a consultant at the clinic. familymedicine orthodontics dentistry prosthodontics   provides dentures to enhance smile and esthetics",False,False,False,False,False,False,False,False,False,False,,False,[],"['familyMedicine', 'orthodontics', 'dentistry', 'prosthodontics']",,5.0,MEDIUM,[],Score 5.0/10. Issues: None
20,32 Pearls Multi Speciality Dental Clinic,Delhi,Delhi,110009,28.69453621,77.20397186,"dental clinic providing comprehensive services including extractions, implants, orthodontics, and emergency care. familymedicine orthodontics prosthodontics oralandmaxillofacialsurgery cosmeticdentistry endodontics pediatricdentistry dentistry aestheticdentistry dental implant model for demonstration dental delivery unit with handpieces dental chair with overhead light dental clinic provides emergency dental care outpatient care has 55 years of experience in healthcare located behind karuna hospital located in dilshad colony, delhi, india offers orthodontic, implant, and oral and maxillofacial surgery services staff includes dr musharib ahmed provides dental extractions offers orthodontic treatment provides emergency dental care performs fixed prosthodontics provides oral and maxillofacial surgery offers dental implant treatment performs conservative dentistry procedures performs implant-retained dentures performs laser dentistry procedures",False,False,False,False,False,False,False,False,False,False,,False,"['Dental implant model for demonstration', 'Dental delivery unit with handpieces', 'Dental chair with overhead light']","['familyMedicine', 'orthodontics', 'prosthodontics', 'oralAndMaxillofacialSurgery', 'cosmeticDentistry', 'endodontics', 'pediatricDentistry', 'dentistry', 'aestheticDentistry']",,5.0,MEDIUM,[],Score 5.0/10. Issues: None
21,32 Phoenix,Ghaziabad,Uttar Pradesh,110092,28.63460541,77.33288574,"all dental services for vaishali, noida , gaziabad and east delhi area dentistry familymedicine  provides all dental services for vaishali, noida, ghaziabad and east delhi area offers general dentistry services ",False,False,False,False,False,False,False,False,False,False,,False,[],"['dentistry', 'familyMedicine']",,5.0,MEDIUM,[],Score 5.0/10. Issues: None
22,32 Point Dental Clinic And Military Pharmacy,Bangalore,Karnataka,560068,12.85879326,77.61141968,"dental clinic and military pharmacy located in bommanahalli, bangalore, karnataka, india. services include root canal (rct) and laser dentistry. familymedicine  multispeciality dental clinic outpatient services on-site pharmacy root canal treatment (rct) laser dentistry",False,False,False,False,False,False,False,False,False,False,,False,[],['familyMedicine'],,5.0,MEDIUM,[],Score 5.0/10. Issues: None
23,32 Smile Station,Jamshedpur,Jharkhand,831005,22.80377388,86.21516418,"dental clinic offering rct (root canal), ceramic crowns and bridges fixing, and dental braces fixing as highlighted on the listing. familymedicine orthodontics prosthodontics dentoalveolarsurgery oralandmaxillofacialsurgery dentistry endodontics  has 22 years of experience in healthcare offers dental braces fixing offers root canal treatment (rct) offers dental screening and prophylaxis offers ceramic crowns and bridges fixing offers dental consultation",False,False,False,False,False,False,False,False,False,False,,False,[],"['familyMedicine', 'orthodontics', 'prosthodontics', 'dentoalveolarSurgery', 'oralAndMaxillofacialSurgery', 'dentistry', 'endodontics']",,5.0,MEDIUM,[],Score 5.0/10. Issues: None
24,32 Smile Stone Dental Clinic and impalnt center,Gandhinagar,Gujarat,382021,23.23186874,72.66825104,"32 smile stone dental clinic and implant center surgicaloncology pediatricdentistry familymedicine generaldentistry craniofacialandcleftoralmaxillofacialsurgery orthodontics prosthodontics oncologyandreconstructiveoralandmaxillofacialsurgery oralandmaxillofacialsurgery dentoalveolarsurgery cosmeticdentistry periodontics endodontics dentistry craniomaxillofacialtraumasurgery oralpathology aestheticdentistry  dental clinic and implant center located in gandhinagar, gujarat operates a dental clinic and implant center dr. chirag pandya – orthodontist on staff provides 24/7 emergency dental care emergency dental services available around the clock dental implant center with implant treatments offered offers 24/7 emergency dental care staffed by multiple dentists including dr paresh chaudhari, dr chirag pandya, dr ankit patel, dr mitesh patel comprehensive dental, maxillofacial, gum and aesthetic treatments under one roof dr. ankit patel – oral pathologist on staff dr. mitesh patel – oral and maxillofacial surgeon; head and neck cancer surgeon on staff dr. paresh chaudhari – dental surgeon on staff performs third molar removal with minor surgery provides tooth coloured filling root canal treatment treats cancerous lesions in the oral cavity provides pediatric dentistry offers veneers for smile enhancement silver amalgam restoration offers dental jewellery treats pyorrhea pediatric dentistry dental jewellery third molar removal with minor surgery cancerous lesion in oral cavity tooth whitening (bleaching) offers root canal treatment provides silver amalgam restoration treatment of jaw fracture provides removable prosthesis treats jaw fractures ultrasonic scaling treatment of pyorrhea dental implant fixed prosthesis maxillofacial surgery removable prosthesis provides fixed prosthesis provides extraction treatment of tumors in oral cavity orthodontic treatment offers dental implant provides ultrasonic scaling offers orthodontic treatment tooth coloured filling performs maxillofacial surgery extraction offers tooth whitening (bleaching) treats tumors in the oral cavity",False,False,False,False,True,False,False,True,False,True,4.0,False,[],"['surgicalOncology', 'pediatricDentistry', 'familyMedicine', 'generalDentistry', 'craniofacialAndCleftOralMaxillofacialSurgery', 'orthodontics', 'prosthodontics', 'oncologyAndReconstructiveOralAndMaxillofacialSurgery', 'oralAndMaxillofacialSurgery', 'dentoalveolarSurgery', 'cosmeticDentistry', 'periodontics', 'endodontics', 'dentistry', 'craniomaxillofacialTraumaSurgery', 'oralPathology', 'aestheticDentistry']",,7.0,HIGH,[],Score 7.0/10. Issues: None
25,32 Tz Dental Care,Mumbai,Maharashtra,400001,18.93402863,72.83262634,"dental clinic at fort. we provide a wide variety of services from teeth cleaning to root canals, caps, bridges, dentures - you name it we have it. led by dr. rujit desai (m.d.s. - prosthodontics and implantology). we have female dentist(s) at our dental clinic. familymedicine prosthodontics cosmeticdentistry endodontics dentistry autoclaves pulse oximeters tooth whitening system single-use injection needles fully automatic dental chairs fully computerized operatories dental photography prophy cups and bibs digital imaging dental loupes disposable masks periapical x-rays disposable gloves computerized patient details saliva ejectors ultrasonic cleaner intraoral camera digital x-ray wi-fi specializes in cosmetic/aesthetic dentistry, implantology, and prosthodontics has 1 doctor on staff: dr. rujit desai, a dentist with 18 years of experience multispecialty dental clinic located in fort, mumbai offers dental consultation and cosmetic dentistry services multi-speciality dental clinic offers online consultation located in south mumbai serves patients from local area, cities nearby, all over state, expats, nris, abroad, and dental tourists equipped with latest technologies led by dr. rujit desai (m.d.s. - prosthodontics and implantology) based in mumbai, india located in fort, mumbai provides outpatient dental services specializes in implant dentistry and prosthodontics has female dentists on staff has 1 dentist on staff: dr. rujit desai dr. rujit desai, bds, mds - prosthodontist and crown bridge; implantologist; dental surgeon, practices at the clinic dental tourism facility dental implants performs endo surgery or apicoectomy provides acrylic partial denture performs endosurgery smile designing fits cast partial dentures provides complete/partial dentures fixing oral implants performs impaction/impacted tooth extraction teeth whitening provides dental braces provides artificial teeth provides conservative dentistry implant bridges teeth cleaning (prophylaxis) provides teeth aligners dental crowns (caps) dentures fixes crowns and bridges dental bridges consultation root canal treatment smile makeovers fluoride therapy offers cosmetic/aesthetic dentistry wisdom tooth extraction tooth implants offers dental implant surgery implant overdenture",False,False,False,False,False,False,False,False,False,True,1.0,False,"['Autoclaves', 'Pulse Oximeters', 'Tooth Whitening System', 'Single-use Injection Needles', 'Fully Automatic Dental Chairs', 'Fully Computerized Operatories', 'Dental Photography', 'Prophy Cups and Bibs', 'Digital Imaging', 'Dental Loupes', 'Disposable Masks', 'Periapical X-rays', 'Disposable Gloves', 'Computerized patient details', 'Saliva Ejectors', 'Ultrasonic Cleaner', 'Intraoral Camera', 'Digital X-ray', 'Wi-Fi']","['familyMedicine', 'prosthodontics', 'cosmeticDentistry', 'endodontics', 'dentistry']",,6.0,MEDIUM,[],Score 6.0/10. Issues: None
26,32solutions,Solapur,Maharashtra,413001,17.6764183,75.90207672,speciality dental clinic catering implant dentistry familymedicine   ,False,False,False,False,False,False,False,False,False,False,,False,[],['familyMedicine'],,5.0,MEDIUM,[],Score 5.0/10. Issues: None
27,3D Facial Imaging Center,Nashik,Maharashtra,422001,19.98791885,73.78393555,"medical diagnostic imaging center dentistry radiology  provides artificial teeth implants operates as a medical diagnostic imaging center in nashik, maharashtra, india provides teeth whitening services provides dental braces fixing dental clinic offering cosmetic and restorative dentistry provides tooth reshaping and conservative dentistry dental braces fixing tooth reshaping conservative dentistry teeth whitening artificial teeth implant",False,False,False,False,False,False,False,False,False,False,,False,[],"['dentistry', 'radiology']",,5.0,MEDIUM,[],Score 5.0/10. Issues: None
28,3D Plus Maxillofacial Imaging,Bhopal,Madhya Pradesh,462003,23.23569489,77.40151215,"we specialize in maxillofacial imaging and analysis and 3d printing for medical usage. radiology familymedicine internalmedicine oralandmaxillofacialsurgery dentistry opg/dental panoramic x-ray system cbct scanner for dental imaging cephalometric x-ray system panoramic dental x-ray unit cbct scanner cbct scanner for maxillofacial imaging skull view x-ray unit opg x-ray unit panoramic (opg) x-ray machine cephalometric x-ray unit delivers fast digital reporting fast digital reporting of imaging studies uses modern 3d imaging technology for dental and maxillofacial imaging outpatient dental and maxillofacial radiology imaging center low-radiation safety protocols offers opg, skull view x-ray, panoramic x-ray, and cephalometric x-ray imaging maxillofacial imaging center dental and maxillofacial imaging services offers cbct imaging services 3d printing of surgical guides for dental implant surgeries dental radiology imaging services using modern 3d technology provides 3d printing for medical usage specializes in maxillofacial imaging and analysis provides low-radiation safety protocols orthodontic evaluation imaging support implant planning imaging support performs skull view x-ray imaging uses modern 3d imaging technology for dental and maxillofacial imaging provides cbct imaging for dental and maxillofacial planning supports implant planning imaging performs tmj imaging offers tmj imaging provides opg panoramic x-ray imaging offers opg x-ray offers cephalogram supports orthodontic evaluation with imaging performs sinus and airway analysis imaging provides sinus and airway analysis performs cbct scans for maxillofacial imaging offers skull view x-ray performs cephalometric skull x-ray imaging performs panoramic dental x-ray imaging offers panoramic dental x-ray supports dental implant planning with imaging performs opg imaging supports orthodontic evaluation imaging offers cephalometric x-ray (cephalometric/x-ray ceph) performs cephalometric x-ray imaging performs skull view x-ray imaging offers cbct scans for dental and maxillofacial imaging performs cephalogram imaging performs panoramic dental x-ray imaging",False,False,False,False,False,False,False,False,False,False,,False,"['OPG/dental panoramic X-ray system', 'CBCT scanner for dental imaging', 'Cephalometric X-ray system', 'Panoramic dental X-ray unit', 'CBCT scanner', 'CBCT scanner for maxillofacial imaging', 'Skull View X-ray unit', 'OPG X-ray unit', 'Panoramic (OPG) X-ray machine', 'Cephalometric X-ray unit']","['radiology', 'familyMedicine', 'internalMedicine', 'oralAndMaxillofacialSurgery', 'dentistry']",,5.0,MEDIUM,[],Score 5.0/10. Issues: None
29,"3E Clinic - Expertise, Experience And Ethics",Noida,Uttar Pradesh,201307,28.57530975,77.3817749,comprehensive child care clinic. pediatrics familymedicine pediatricgastroenterology pediatricnephrology  comprehensive child care clinic always open has online presence at 3eclinic.com ,False,False,False,False,False,False,False,False,False,False,,False,[],"['pediatrics', 'familyMedicine', 'pediatricGastroenterology', 'pediatricNephrology']",,5.0,MEDIUM,[],Score 5.0/10. Issues: None
30,4 Senses Clinic,Bengaluru,Karnataka,560092,13.06017303,77.58889771,"4 senses is a one stop multispecialty clinic in sahakarnagar, bangalore to handle all type of skin, hair, aesthetic , ear, nose throat diseases. as 4 senses suggests. doctors here are specialized in treating four senses organs skin and hair, ear, nose, throat. clinic has build with an aim to provide the best available care from illness to wellness affordable for all kind of people under one roof. familymedicine otolaryngology dermatology  offers advanced skin, hair and ent care located in bangalore, karnataka, india has a website at foursenses.in ",False,False,False,False,False,False,False,False,False,False,,False,[],"['familyMedicine', 'otolaryngology', 'dermatology']",,5.0,MEDIUM,[],Score 5.0/10. Issues: None
31,4N Dental Trading Company,Agra,Uttar Pradesh,282002,27.20108604,78.00706482,we offer high-quality dental services & products to keep your smile healthy & happy. radiology emergencymedicine orthodontics endodontics dentistry   ,False,False,False,False,False,False,False,False,False,False,,False,[],"['radiology', 'emergencyMedicine', 'orthodontics', 'endodontics', 'dentistry']",,5.0,MEDIUM,[],Score 5.0/10. Issues: None
